|            Name|       raStr|      decStr| amaj| amin|  pa_new| FWHM|    vlsr|  Dist_B| sigma_D|        Ref|Dark70|
|            char|        char|        char| long| long|  double| long|  double|  double|  double|       char|  char|
|                |            |            |     |     |        |     |        |        |        |           |      |
|            null|        null|        null| null| null|    null| null|    null|    null|    null|       null|  null|
 G006.4609-0.3902 18h01m44.76s -23d33m57.6s    27    22    148.6    24     null     null     null        null      N 
 G006.4916-0.3322 18h01m35.54s -23d30m37.8s    28    20     17.7    24     null     null     null        null      N 
 G006.4982-0.3222 18h01m34.13s -23d29m59.6s    45    32    169.7    38     null     null     null        null      N 
 G007.3449-0.0001 18h02m10.27s -22d36m16.6s    34    28     87.6    31    19.80     2.97     0.16   Wienen+12      Y 
 G008.1102+0.2591 18h02m49.73s -21d48m40.0s    25    23      7.5    24    18.91     2.98     0.22 Csengeri+14      N 
 G008.1232+0.2573 18h02m51.79s -21d48m02.5s    33    23     91.5    28    19.34     2.99     0.23 Csengeri+14      N 
 G008.5441-0.3421 18h06m00.12s -21d43m41.2s    34    26    151.2    30    37.13     4.45     0.23   Wienen+12      N 
 G008.7264-0.3959 18h06m35.23s -21d35m42.7s    28    21    137.2    24    39.09     4.47     0.24 Csengeri+14      N 
 G009.5776-0.6599 18h09m21.17s -20d58m46.2s    40    23     97.9    30     null     null     null        null      Y 
 G009.9517-0.3649 18h09m01.44s -20d30m33.8s    35    27     44.0    31    12.79     3.12     0.21   Dunham+11      Y 
 G010.0676-0.4076 18h09m25.37s -20d25m43.0s    36    24    100.9    29    11.40     3.11     0.21  Shirley+13      N 
 G010.1065-0.4168 18h09m32.26s -20d23m56.4s    41    27     26.9    33    11.49     3.11     0.21   Wienen+12      N 
 G010.1365-0.4108 18h09m34.63s -20d22m11.3s    41    21     27.9    30    10.60     3.12     0.22  Shirley+13      N 
 G010.1839-0.4050 18h09m39.19s -20d19m32.2s    34    20     37.9    26    15.29     3.12     0.21 Csengeri+14      N 
 G010.1904-0.3884 18h09m36.29s -20d18m42.5s    28    25    121.9    26    10.62     3.12     0.21   Wienen+12      N 
 G010.1976-0.2876 18h09m14.59s -20d15m24.5s    29    20    166.0    23    10.80     3.12     0.21  Shirley+13      N 
 G010.1984-0.3164 18h09m21.12s -20d16m12.0s    41    25    111.0    32    10.63     3.12     0.21 Csengeri+14      Y 
 G010.2144-0.3051 18h09m20.59s -20d15m02.2s    22    20    137.0    20    11.35     3.12     0.21   Wienen+12      Y 
 G010.2190-0.3632 18h09m34.18s -20d16m28.6s    34    23     93.9    28    11.84     3.12     0.21   Wienen+12      N 
 G010.2488-0.1101 18h08m41.23s -20d07m33.2s    31    20     39.0    25    13.35    14.56     0.31   Wienen+12      N 
 G010.5743-0.7905 18h11m53.74s -20d10m10.2s    33    25    131.7    29     null     null     null        null      Y 
 G010.5785-0.3491 18h10m15.41s -19d57m11.2s    42    24     48.9    32    -2.60    16.61     0.72  Shirley+13      Y 
 G010.5959-0.3638 18h10m20.86s -19d56m42.0s    32    20     99.9    25    -3.30    16.79     0.83  Shirley+13      N 
 G010.6174-0.0304 18h09m09.05s -19d45m54.0s    37    21     71.0    28    64.00    10.70     0.20  Shirley+13      N 
 G010.6233-0.5091 18h10m56.76s -19d59m27.6s    45    29    143.8    37    -4.10    18.13     1.24   Wienen+12      N 
 G010.6333-0.4978 18h10m55.44s -19d58m36.5s    29    20    165.8    24    -2.89    17.94     1.17   Wienen+12      N 
 G010.6627+0.0811 18h08m49.78s -19d40m16.7s    44    29    138.0    36    19.60    14.51     0.31  Shirley+13      Y 
 G010.6847-0.3071 18h10m19.13s -19d50m23.3s    39    23    166.9    30    18.90     3.09     0.24   Wienen+12      Y 
 G010.9823-0.3677 18h11m09.26s -19d36m30.2s    33    28    176.8    30    -0.60    16.54     0.65  Shirley+13      Y 
 G011.0970-0.1093 18h10m25.70s -19d22m59.5s    39    21     77.9    28    29.79     3.03     0.33   Wienen+12      Y 
 G011.3811+0.8103 18h07m36.41s -18d41m21.1s    29    24     11.1    26    26.83     2.82     0.31 Csengeri+14      Y 
 G012.3628+0.4214 18h11m02.62s -18d01m06.6s    26    26    162.8    26    30.90     2.96     0.29  Shirley+13      N 
 G012.6738-0.0998 18h13m35.69s -17d59m46.0s    36    22     75.6    28    55.00    10.73     0.23  Shirley+13      Y 
 G012.7025-0.1452 18h13m49.18s -17d59m33.4s    29    29    125.6    29    34.70     3.04     0.32  Shirley+13      N 
 G012.7359-0.1024 18h13m43.75s -17d56m34.1s    44    27    108.6    35    55.51    10.72     0.23   Wienen+12      N 
 G012.8572-0.2088 18h14m21.94s -17d53m13.9s    31    25    176.6    28    32.66     3.00     0.31  Dempsey+14      Y 
 G012.9459-0.2488 18h14m41.50s -17d49m41.9s    25    24     39.5    24    34.00     3.02     0.31  Shirley+13      Y 
 G012.9674-0.2380 18h14m41.69s -17d48m15.8s    33    28    174.5    30     null     null     null        null      Y 
 G014.0177-0.1603 18h16m30.36s -16d50m38.0s    31    23    140.4    26    41.20     3.19     0.46  Shirley+13      N 
 G014.1842-0.2280 18h17m05.14s -16d43m46.9s    45    25    138.4    34    39.70     3.12     0.41  Shirley+13      Y 
 G014.2314-0.1758 18h16m59.23s -16d39m47.9s    42    22     80.4    30    37.54     3.06     0.37   Wienen+12      Y 
 G014.3280-0.5328 18h18m29.45s -16d44m51.0s    30    23     42.3    26    19.66     1.85     0.09   Wienen+12      Y 
 G014.3848-0.1308 18h17m07.56s -16d30m25.2s    27    20    113.4    23    25.00    13.32     0.25  Shirley+13      Y 
 G014.4683-0.0857 18h17m07.54s -16d24m43.2s    58    23    146.4    36    38.12     3.09     0.39   Wienen+12      Y 
 G014.4876-0.1274 18h17m19.03s -16d24m53.6s    22    20     14.3    21    39.72     3.15     0.43   Wienen+12      Y 
 G014.6858-0.2234 18h18m03.67s -16d17m09.6s    44    28     23.3    35    37.67     3.06     0.37   Wienen+12      Y 
 G014.7258-0.2031 18h18m03.96s -16d14m28.0s    50    24      2.3    35    37.47     3.06     0.37   Wienen+12      Y 
 G015.0060+0.0090 18h17m50.47s -15d53m37.7s    29    28     57.3    28    24.58    13.32     0.26  Shirley+13      Y 
 G015.0201-0.6201 18h20m10.54s -16d10m44.0s    28    28     66.1    28    19.70     1.85     0.09  Shirley+13      Y 
 G015.1239-0.5584 18h20m09.22s -16d03m29.9s    44    26     12.1    34    19.60     1.85     0.09  Shirley+13      N 
 G015.2169-0.4267 18h19m51.19s -15d54m50.8s    25    21    130.2    23    22.67     1.87     0.11  Dempsey+14      Y 
 G015.2277-0.8391 18h21m23.26s -16d05m56.0s    38    21     98.1    28    15.60     1.83     0.08  Shirley+13      N 
 G015.2317-0.6097 18h20m33.19s -15d59m14.6s    36    24      4.1    30    20.50     1.86     0.10  Shirley+13      N 
 G015.2576-0.6158 18h20m37.58s -15d58m03.0s    47    29    169.1    37    21.59     1.86     0.10   Wienen+12      N 
 G015.5022-0.4201 18h20m23.28s -15d39m33.8s    49    30    175.1    38    39.70     3.15     0.38  Shirley+13      Y 
 G016.3013-0.5251 18h22m19.90s -15d00m13.7s    44    30    112.0    36    38.33     3.20     0.27   Wienen+12      Y 
 G016.4210-0.6344 18h22m57.84s -14d56m57.8s    40    28     35.0    34    41.09     3.35     0.21   Wienen+12      Y 
 G017.0658+0.8213 18h18m55.01s -13d41m42.0s    60    24     44.2    38    20.00     1.85     0.13 Csengeri+14      N 
 G018.0641-0.3081 18h24m56.90s -13d20m41.3s    40    27    103.9    33    46.93     3.39     0.18   Wienen+12      N 
 G018.0982-0.3545 18h25m10.94s -13d20m10.7s    36    31    116.9    33    45.42     3.37     0.18 Csengeri+14      Y 
 G018.0986-0.3431 18h25m08.50s -13d19m50.2s    35    20     90.9    26    56.81     3.55     0.24   Wienen+12      Y 
 G018.1042-0.3058 18h25m01.01s -13d18m29.9s    23    20     57.9    22    50.99     3.45     0.20   Wienen+12      N 
 G018.8008-0.2958 18h26m18.94s -12d41m15.4s    39    29     95.8    34    65.50     4.95     0.31  Shirley+13      Y 
 G018.8441-0.3758 18h26m41.30s -12d41m11.8s    60    34     13.8    45    61.00     3.60     0.26  Shirley+13      Y 
 G018.9295-0.0289 18h25m35.64s -12d26m57.1s    48    37     44.8    42    43.60     3.33     0.18  Purcell+12      Y 
 G019.5892-0.0799 18h27m02.23s -11d53m21.8s    35    26    148.8    30    60.77    11.57     0.42   Dunham+11      Y 
 G022.3685+0.3814 18h30m37.58s  -9d12m49.3s    46    39     92.6    42    84.17     5.42     0.36   Wienen+12      Y 
 G022.5309-0.1927 18h32m59.64s  -9d20m06.0s    42    23     69.5    31    75.90     4.98     0.59   Wienen+12      Y 
 G022.6919-0.4519 18h34m13.61s  -9d18m42.5s    25    22     42.4    23    76.77     4.90     0.61   Wienen+12      Y 
 G022.7215-0.2733 18h33m38.38s  -9d12m11.5s    49    22    137.5    33    72.83     4.64     0.68   Wienen+12      Y 
 G023.2674-0.3559 18h34m57.34s  -8d45m24.1s    28    20    175.4    23    75.60     4.52     0.72  Shirley+13      Y 
 G023.2694-0.2097 18h34m26.04s  -8d41m15.4s    43    23     99.4    32    77.30     4.74     0.57  Shirley+13      Y 
 G023.2778-0.2149 18h34m28.10s  -8d40m57.4s    32    22    148.4    27    78.40     4.89     0.60 Csengeri+14      Y 
 G023.2826-0.2007 18h34m25.58s  -8d40m18.5s    42    27    136.4    34    78.00     4.83     0.58  Dempsey+14      Y 
 G023.2957+0.0556 18h33m31.85s  -8d32m31.2s    35    20      3.5    27    54.80     3.63     0.26  Shirley+13      Y 
 G023.2989-0.2501 18h34m38.06s  -8d40m48.4s    21    20     86.4    20    82.20     5.44     0.51  Shirley+13      Y 
 G023.3222-0.0775 18h34m03.48s  -8d34m47.6s    32    20    179.4    26    96.90     5.82     0.25  Shirley+13      Y 
 G023.3760-0.1293 18h34m20.64s  -8d33m21.6s    48    26     41.4    35    98.39     5.85     0.24 Csengeri+14      Y 
 G023.4556-0.2301 18h34m51.24s  -8d31m54.1s    50    20     18.4    32   103.40     5.93     0.23  Shirley+13      N 
 G023.4742+0.1037 18h33m41.45s  -8d21m41.0s    29    22    132.5    26    85.40     5.57     0.43   Wienen+12      Y 
 G023.4771+0.1147 18h33m39.41s  -8d21m13.7s    28    22     84.5    25    85.40     5.56     0.43 Csengeri+14      Y 
 G023.5176+0.2425 18h33m16.44s  -8d15m32.0s    26    20    153.5    22    82.25     5.40     0.60 Csengeri+14      N 
 G023.8923+0.4071 18h33m22.94s  -7d51m01.8s    37    25    157.5    30    89.10     9.23     0.28  Shirley+13      N 
 G023.9790+0.1498 18h34m27.94s  -7d53m31.9s    35    20     33.4    26    77.16     4.43     0.72 Csengeri+14      Y 
 G024.0179+0.2107 18h34m19.20s  -7d49m46.6s    38    31     74.4    34   105.00     5.98     0.23  Dempsey+14      Y 
 G024.0234+0.2431 18h34m12.84s  -7d48m34.9s    40    24    151.4    31    96.20     9.21     0.26  Shirley+13      N 
 G024.0492-0.2145 18h35m54.14s  -7d59m51.4s    36    30    163.4    33    81.10     4.80     0.69  Shirley+13      Y 
 G024.2583+0.1022 18h35m09.34s  -7d39m58.3s    29    22     12.4    25    99.40     5.89     0.24  Shirley+13      Y 
 G024.3462+0.0626 18h35m27.65s  -7d36m23.0s    44    22     10.4    31   117.20     7.29     1.02  Shirley+13      N 
 G024.4326+0.3238 18h34m41.14s  -7d24m33.8s    42    23    116.4    31   114.10     6.81     0.79  Shirley+13      N 
 G024.5245-0.1397 18h36m30.98s  -7d32m28.0s    40    27     14.4    33    90.30     5.73     0.32  Dempsey+14      Y 
 G024.5269+0.3232 18h34m51.77s  -7d19m33.6s    33    30     44.4    31   107.80     6.02     0.23  Shirley+13      N 
 G024.5458-0.2144 18h36m49.44s  -7d33m23.8s    41    22     43.4    30   100.60     5.91     0.23  Shirley+13      N 
 G024.5611+0.3413 18h34m51.72s  -7d17m14.3s    44    33     81.4    38   107.40     6.02     0.23  Shirley+13      Y 
 G024.6669-0.1154 18h36m41.62s  -7d24m12.2s    37    20     59.4    27   112.20     6.07     0.26  Shirley+13      N 
 G024.6897-0.1253 18h36m46.27s  -7d23m15.7s    26    21    175.4    24   108.24     6.02     0.23 Csengeri+14      Y 
 G024.7441+0.1624 18h35m50.50s  -7d12m25.6s    59    26     97.4    39   107.40     6.02     0.23  Shirley+13      N 
 G025.8048+0.2712 18h37m24.96s  -6d12m54.4s    37    23    179.3    29   110.46     8.67     0.33 Csengeri+14      N 
 G026.2895+0.1343 18h38m48.00s  -5d50m50.6s    29    22     39.3    25   111.32     8.51     0.39 Csengeri+14      Y 
 G026.3438+0.1365 18h38m53.54s  -5d47m53.2s    25    22     22.3    23   110.53     8.52     0.36 Csengeri+14      Y 
 G027.4646+0.1189 18h41m01.08s  -4d48m35.6s    44    27    161.2    34   100.38     8.40     0.33   Wienen+12      Y 
 G028.1943-0.0747 18h43m02.88s  -4d14m58.6s    34    24    119.2    29    98.17     8.19     0.41   Wienen+12      Y 
 G028.2726-0.1666 18h43m31.18s  -4d13m18.8s    49    28    131.2    37    79.60     4.50     0.29 Csengeri+14      Y 
 G028.5246-0.2519 18h44m17.14s  -4d02m12.5s    27    20    168.2    23    87.33     4.69     0.35 Csengeri+14      Y 
 G028.5413-0.2371 18h44m15.79s  -4d00m54.7s    43    28     38.2    35    84.34     4.62     0.31 Csengeri+14      Y 
 G029.5561+0.1861 18h44m36.74s  -2d55m08.8s    33    29     92.2    31    79.81     4.58     0.30   Wienen+12      Y 
 G029.8406-0.0342 18h45m55.06s  -2d45m59.4s    28    23    179.2    26   100.19     7.67     0.47   Wienen+12      N 
 G029.9206-0.0140 18h45m59.50s  -2d41m10.3s    27    20    124.2    23    95.80     7.66     0.59  Shirley+13      N 
 G029.9405-0.7886 18h48m47.33s  -3d01m18.8s    40    21      2.1    29    98.90     5.85     1.82  Shirley+13      Y 
 G030.0062-0.1192 18h46m31.39s  -2d39m28.8s    32    21    120.2    26    98.90     6.89     1.13  Shirley+13      Y 
 G030.0556+0.0995 18h45m50.04s  -2d30m51.5s    28    25     79.2    26    97.60     6.75     1.27  Shirley+13      Y 
 G030.4235-0.2142 18h47m37.42s  -2d19m48.4s    30    27    139.1    28   104.36     7.23     0.64 Csengeri+14      N 
 G030.5682-0.0258 18h47m13.01s  -2d06m55.1s    29    24     29.1    26    87.90     4.86     0.39  Shirley+13      Y 
 G030.6574+0.0446 18h47m07.75s  -2d00m13.7s    40    26    150.1    32    81.90     4.66     0.33  Shirley+13      Y 
 G030.6783-0.0386 18h47m27.82s  -2d01m23.5s    37    29     60.1    33    89.53     4.99     0.36   Wienen+12      N 
 G030.6858-0.0306 18h47m26.93s  -2d00m46.4s    53    34     93.1    42    89.53     5.00     0.36   Wienen+12      N 
 G030.7912-0.1173 18h47m57.00s  -1d57m31.0s    26    25    170.1    26    92.30     5.31     1.14  Shirley+13      Y 
 G030.7941+0.0736 18h47m16.54s  -1d52m08.0s    35    23     75.1    28    36.44     2.06     0.09 Csengeri+14      N 
 G030.8130-0.0235 18h47m39.36s  -1d53m47.0s    33    24     13.1    28    95.10     5.77     0.84  Shirley+13      N 
 G030.8447+0.1775 18h46m59.88s  -1d46m35.4s    34    23    122.1    28    96.70     6.52     1.09  Shirley+13      Y 
 G030.8523-0.1086 18h48m01.85s  -1d54m00.7s    39    26     92.1    32    99.80     6.34     0.70 Csengeri+14      Y 
 G030.8620+0.0392 18h47m31.32s  -1d49m27.1s    34    20    125.1    25    92.10     5.13     0.35  Dempsey+14      N 
 G030.8624-0.0394 18h47m48.14s  -1d51m34.9s    29    20    136.1    24    94.40     5.65     0.82  Shirley+13      Y 
 G031.1496+0.2650 18h47m14.59s  -1d27m55.1s    44    29    116.1    36   102.35     6.62     0.76   Wienen+12      N 
 G031.3944+0.3067 18h47m32.47s  -1d13m42.2s    23    20    156.1    21    95.66     5.99     0.79 Csengeri+14      N 
 G031.6972-0.1871 18h49m51.12s  -1d11m02.8s    40    20     49.1    28   103.99     6.67     0.72   Dunham+11      Y 
 G032.0016-0.1987 18h50m26.90s  -0d55m07.0s    32    23    172.1    27    96.61     6.10     0.80   Wienen+12      Y 
