|   Seq |             Name |       ra |      dec | amaj | amin |  PA | FWHM |     Sp |   Sint |    S_N |
|   159 | G305.3921+0.2655 | 198.1943 | -62.5044 |   29 |   22 |   4 |   25 |   0.51 |   0.88 |   5.47 |
|   160 | G305.4126+0.2061 | 198.2493 | -62.5619 |   22 |   19 | 171 |   20 |   0.57 |   0.63 |   5.46 |
|   161 | G305.4252+0.2385 | 198.2707 | -62.5285 |   42 |   28 | 107 |   34 |   1.22 |   3.93 |  11.59 |
|   162 | G305.4289+0.2526 | 198.2760 | -62.5141 |   26 |   19 | 109 |   22 |   0.66 |   0.89 |   6.44 |
|   163 | G305.4417-0.2347 | 198.3942 | -62.9986 |   34 |   27 |  46 |   30 |   0.65 |   1.61 |   6.99 |
|   164 | G305.4755-0.0958 | 198.4419 | -62.8573 |   29 |   26 |  96 |   27 |   2.05 |   4.14 |  18.94 |
|   165 | G305.4834-0.1029 | 198.4606 | -62.8636 |   32 |   20 |  93 |   25 |   0.60 |   1.04 |   6.39 |
|   166 | G305.5048+0.3582 | 198.4200 | -62.4024 |   39 |   19 | 119 |   27 |   0.52 |   1.04 |   5.44 |
|   167 | G305.5114+0.3509 | 198.4357 | -62.4092 |   40 |   22 |  41 |   30 |   0.60 |   1.43 |   6.62 |
|   168 | G305.5126+0.3339 | 198.4415 | -62.4260 |   25 |   22 | -10 |   23 |   0.62 |   0.91 |   6.52 |
|   169 | G305.5175+0.7631 | 198.3727 | -61.9980 |   32 |   24 |  79 |   28 |   1.24 |   2.63 |  12.89 |
|   171 | G305.5215-0.0176 | 198.5273 | -62.7753 |   34 |   23 |   5 |   28 |   0.74 |   1.58 |   8.10 |
|   172 | G305.5226-0.0330 | 198.5327 | -62.7906 |   26 |   25 |  96 |   25 |   1.08 |   1.88 |  11.18 |
|   174 | G305.5339+0.9425 | 198.3748 | -61.8178 |   35 |   27 | 102 |   31 |   0.73 |   1.89 |   7.50 |
|   175 | G305.5361-0.0195 | 198.5596 | -62.7760 |   24 |   24 | 155 |   24 |   0.69 |   1.07 |   7.09 |
|   176 | G305.5385+0.3395 | 198.4962 | -62.4182 |   43 |   30 |  46 |   36 |   1.91 |   6.57 |  21.42 |
|   177 | G305.5457-0.0148 | 198.5796 | -62.7704 |   32 |   19 |  97 |   25 |   0.54 |   0.90 |   5.80 |
|   178 | G305.5476-0.0559 | 198.5917 | -62.8113 |   31 |   23 | 104 |   26 |   0.81 |   1.53 |   8.57 |
|   179 | G305.5494+0.0057 | 198.5835 | -62.7497 |   37 |   22 |  91 |   28 |   1.05 |   2.27 |  10.07 |
|   180 | G305.5531-0.0111 | 198.5949 | -62.7661 |   39 |   24 | 100 |   31 |   2.32 |   5.87 |  23.19 |
|   181 | G305.5538+0.0161 | 198.5912 | -62.7390 |   34 |   22 | 133 |   27 |   1.00 |   1.98 |   9.94 |
|   182 | G305.5608+0.0226 | 198.6050 | -62.7319 |   28 |   22 |  18 |   25 |   0.76 |   1.26 |   8.06 |
|   183 | G305.5628+0.0137 | 198.6112 | -62.7405 |   28 |   25 |  -6 |   27 |   4.23 |   8.15 |  37.30 |
|   184 | G305.5753-0.3413 | 198.7086 | -63.0930 |   27 |   23 | 112 |   25 |   0.53 |   0.89 |   5.07 |
|   185 | G305.5753-0.2259 | 198.6856 | -62.9781 |   27 |   23 |  30 |   25 |   0.52 |   0.88 |   5.28 |
|   186 | G305.5812+0.0377 | 198.6465 | -62.7150 |   56 |   19 |  91 |   33 |   0.51 |   1.46 |   5.12 |
|   187 | G305.5890+0.4609 | 198.5814 | -62.2928 |   39 |   28 |  98 |   33 |   0.64 |   1.88 |   6.54 |
|   188 | G305.6033-0.6894 | 198.8415 | -63.4371 |   28 |   26 |  34 |   27 |   0.56 |   1.08 |   6.38 |
|   189 | G305.6066+0.0164 | 198.7059 | -62.7340 |   52 |   25 |  42 |   36 |   0.87 |   3.04 |   9.28 |
|   190 | G305.6151-0.3443 | 198.7967 | -63.0923 |   30 |   20 |  98 |   25 |   0.86 |   1.43 |   9.32 |
|   191 | G305.6308+0.5045 | 198.6627 | -62.2456 |   36 |   21 |  47 |   27 |   0.66 |   1.33 |   6.51 |
|   192 | G305.6684-0.1058 | 198.8650 | -62.8500 |   27 |   24 |  82 |   26 |   0.81 |   1.44 |   8.95 |
|   193 | G305.7046+0.0321 | 198.9156 | -62.7092 |   42 |   27 |  77 |   34 |   0.54 |   1.67 |   5.87 |
|   195 | G305.7764-0.2489 | 199.1311 | -62.9821 |   24 |   24 |  88 |   24 |   0.92 |   1.45 |  10.37 |
|   196 | G305.7949-0.0965 | 199.1389 | -62.8286 |   45 |   25 |   7 |   33 |   1.34 |   4.02 |  12.86 |
|   197 | G305.7994-0.2445 | 199.1804 | -62.9755 |   24 |   22 |  92 |   23 |  11.67 |  16.13 |  83.89 |
