|   Seq |             Name |       ra |      dec | amaj | amin |  PA | FWHM |   Sp |  Sint |   S_N | nYSOs | nMIPS | nSIMBAD | nSF |
|  5991 | G000.6556-0.0312 | 266.8237 | -28.3923 |   23 |   19 | 133 |   21 | 5.32 |  6.26 | 13.45 |     0 |     0 |       0 |   0 |
|  5995 | G000.6584-0.1433 | 266.9343 | -28.4478 |   50 |   47 |  31 |   48 |  1.1 |  6.94 | 14.81 |     0 |     0 |       0 |   0 |
|  5998 | G000.6658-0.1127 | 266.9089 | -28.4256 |   50 |   24 | 148 |   35 |  0.7 |  2.33 |  9.03 |     0 |     0 |       0 |   0 |
|  5999 | G000.6672-0.1445 | 266.9407 | -28.4409 |   71 |   20 | 108 |   37 | 0.56 |  2.15 |  7.72 |     0 |     0 |       0 |   0 |
|  6003 | G000.6725-0.1843 | 266.9826 |  -28.457 |   39 |   23 |  68 |   30 | 0.51 |  1.22 |  7.34 |     0 |     0 |       0 |   0 |
|  6004 | G000.6732+0.0251 | 266.7793 |  -28.348 |   32 |   19 |  73 |   25 | 1.03 |  1.75 | 10.52 |     0 |     0 |       0 |   0 |
|  6008 | G000.6774-0.1385 | 266.9409 | -28.4291 |   41 |   27 | 129 |   33 |  0.9 |  2.71 | 12.59 |     0 |     0 |       0 |   0 |
|  6012 | G000.6835-0.0909 | 266.8982 | -28.3992 |   30 |   23 | 128 |   26 | 0.56 |  1.04 |  6.83 |     0 |     0 |       0 |   0 |
|  6014 | G000.6840-0.1259 | 266.9325 |  -28.417 |   42 |   37 |  76 |   39 | 1.11 |  4.58 | 14.86 |     0 |     0 |       0 |   0 |
|  6019 | G000.6949-0.0181 | 266.8341 | -28.3518 |   30 |   19 |  90 |   24 | 1.77 |  2.72 |  11.7 |     0 |     0 |       0 |   0 |
|  6021 | G000.6999-0.0324 | 266.8509 |  -28.355 |   21 |   19 |  26 |   20 | 1.66 |  1.82 | 11.45 |     0 |     0 |       0 |   0 |
|  6023 | G000.7127-0.1079 | 266.9318 | -28.3831 |   30 |   21 |  18 |   25 | 0.68 |  1.18 |  9.22 |     0 |     0 |       0 |   0 |
|  6025 | G000.7193-0.0723 | 266.9012 |  -28.359 |   44 |   30 | 142 |   37 | 1.52 |   5.5 | 17.72 |     0 |     0 |       0 |   0 |
|  6026 | G000.7198+0.0379 | 266.7943 | -28.3015 |   32 |   27 |  56 |   30 | 0.72 |  1.73 |  9.48 |     0 |     0 |       0 |   0 |
|  6029 | G000.7283-0.0654 | 266.8997 | -28.3477 |   26 |   19 |  33 |   22 | 0.55 |  0.73 |  7.03 |     0 |     0 |       0 |   0 |
|  6032 | G000.7341-0.1532 | 266.9885 | -28.3882 |   52 |   37 |  82 |   44 |  0.9 |  4.67 | 15.09 |     0 |     0 |       0 |   0 |
