   Long    Lat   Vlsr       Dist sigma_D    Prob     Arm     ExtraInformation
 320.25  -0.19  -11.4      12.08    0.53    0.92     ...?    G320.2512-0.1894    
 320.27   0.29  -32.1      10.80    0.49    0.69     ...?    G320.2715+0.2920    
 320.34  -0.15   -9.0      12.24    0.51    0.95     ...?    G320.3385-0.1534    
 326.28  -0.59  -62.1       3.71    0.46    0.89     ...?    G326.2828-0.5924    
 326.49   0.88  -39.3       2.46    0.45    1.00     ...?    G326.4923+0.8820    
 326.57   0.12  -74.5       9.51    0.50    0.66     ...?    G326.5654+0.1249    
 326.61   0.81  -36.7       2.34    0.45    1.00     ...?    G326.6123+0.8109    
 326.70   0.57  -42.0       2.65    0.45    0.92     ...?    G326.6950+0.5691    
 326.81  -0.11  -55.9      10.61    0.46    0.75     ...?    G326.8051-0.1112    
 326.87   0.07  -49.9      10.95    0.46    0.79     ...?    G326.8693+0.0720    
 327.00  -0.02  -58.8      10.49    0.46    0.76     ...?    G326.9980-0.0159    
 327.07  -0.29  -60.3      10.38    0.45    0.58     ...?    G327.0678-0.2901    
 327.12  -0.30  -59.1      10.45    0.45    0.57     ...?    G327.1177-0.2953    
 327.23  -0.50  -48.5       3.00    0.45    0.82     ...?    G327.2309-0.5041    
 327.26  -0.61  -46.5       2.89    0.45    0.95     ...?    G327.2585-0.6051    
 327.29  -0.20  -62.5      10.31    0.46    0.67     ...?    G327.2927-0.1955    
 327.99  -0.71  -40.9       2.59    0.45    1.00     ...?    G327.9866-0.7124    
 328.14  -0.11  -88.7       8.88    0.62    0.60     ...?    G328.1434-0.1092    
 328.21  -0.59  -42.6       2.70    0.45    0.95     ...?    G328.2075-0.5865    
 328.22  -0.59  -44.1       2.77    0.45    0.95     ...?    G328.2188-0.5922    
 328.30  -0.55  -41.8       2.66    0.45    0.91     ...?    G328.2959-0.5493    
 328.30  -0.51  -43.8       2.77    0.45    0.85     ...?    G328.2972-0.5130    
 328.30  -0.52  -43.9       2.77    0.45    0.87     ...?    G328.2988-0.5242    
 328.32   0.45  -91.6       5.52    0.66    0.58     ...?    G328.3188+0.4516    
 328.42   0.58 -100.9       6.58    1.17    1.00     ...?    G328.4197+0.5845    
 329.26  -0.31  -74.0       9.96    0.46    0.52     ...?    G329.2580-0.3135    
 329.37  -0.28  -74.8       9.94    0.46    0.55     ...?    G329.3748-0.2846    
 330.85  -0.35  -62.6       3.80    0.42    0.54     ...?    G330.8521-0.3510    
 331.03  -0.43  -64.2       3.88    0.43    0.68     ...?    G331.0288-0.4308    
 331.06  -0.17  -90.8       9.29    0.53    0.60     ...?    G331.0605-0.1660    
 331.25  -0.45  -70.6       4.21    0.43    0.70     ...?    G331.2475-0.4493    
 331.35   0.18  -45.7      11.74    0.45    0.74     ...?    G331.3466+0.1807    
 331.49  -0.27  -96.6       8.93    0.63    0.52     ...?    G331.4942-0.2727    
 332.49  -0.12  -50.1      11.63    0.44    0.77     ...?    G332.4947-0.1215    
 332.52  -0.63  -50.8       3.22    0.43    1.00     ...?    G332.5244-0.6283    
 332.68  -0.01  -97.4       9.12    0.56    0.60     ...?    G332.6826-0.0082    
 332.72  -0.68  -46.2       2.99    0.44    1.00     ...?    G332.7154-0.6756    
 332.74  -0.62  -50.4       3.21    0.43    1.00     ...?    G332.7393-0.6211    
 332.76  -0.47  -53.1       3.37    0.43    0.79     ...?    G332.7570-0.4666    
 332.90  -0.55  -56.2       3.52    0.42    0.91     ...?    G332.8975-0.5488    
 333.01  -0.53  -53.2       3.38    0.43    0.90     ...?    G333.0138-0.5339    
 333.01  -0.52  -53.2       3.38    0.43    0.88     ...?    G333.0142-0.5213    
 333.02  -0.75  -55.7       3.47    0.42    1.00     ...?    G333.0150-0.7511    
 333.02  -0.50  -56.4       3.54    0.42    0.84     ...?    G333.0151-0.4964    
 333.16  -0.44  -52.6       3.36    0.43    0.74     ...?    G333.1639-0.4413    
 333.17  -0.43  -50.8       3.27    0.43    0.72     ...?    G333.1700-0.4303    
 333.18  -0.40  -50.5       3.26    0.43    0.65     ...?    G333.1797-0.3958    
 333.24  -0.51  -48.9       3.17    0.43    0.89     ...?    G333.2418-0.5148    
 333.28  -0.48  -55.6       3.51    0.42    0.82     ...?    G333.2770-0.4846    
 333.45  -0.18  -43.9      12.04    0.45    0.74     ...?    G333.4489-0.1822    
 333.48  -0.22  -49.4      11.75    0.44    0.68     ...?    G333.4800-0.2243    
 333.48  -0.25  -50.4      11.69    0.44    0.64     ...?    G333.4826-0.2468    
 333.50  -0.12  -45.9      11.95    0.45    0.79     ...?    G333.4974-0.1154    
