|             Name |       ra |      dec | amaj | amin |  PA | FWHM |   Sp |  Sint |   S_N | nYSOs | nMIPS | nSIMBAD |
| G000.8327-0.1986 | 267.0906 | -28.3272 |   62 |   32 | 123 |   44 | 0.97 |   5.2 | 16.82 |     0 |     0 |       0 |
| G000.8401-0.2383 | 267.1335 | -28.3414 |   60 |   28 | 104 |   41 | 0.73 |   3.4 | 12.64 |     0 |     0 |       0 |
| G000.8421+0.0159 | 266.8875 | -28.2083 |   54 |   33 |  50 |   42 | 0.67 |  3.24 | 10.81 |     0 |     0 |       0 |
| G000.8462-0.0019 | 266.9073 | -28.2139 |   51 |   22 |  43 |   33 | 0.52 |  1.56 |  8.12 |     0 |     0 |       0 |
| G000.8467-0.0292 | 266.9341 | -28.2277 |   67 |   44 |  53 |   55 | 0.92 |  7.44 | 15.08 |     0 |     0 |       0 |
| G000.8511-0.1811 | 267.0843 | -28.3024 |   44 |   30 |  99 |   36 |  0.7 |   2.5 | 12.11 |     0 |     0 |       0 |
| G000.8552-0.1528 | 267.0592 | -28.2843 |   32 |   28 | 127 |   30 | 0.51 |  1.24 |  8.18 |     0 |     0 |       0 |
| G000.8574-0.0935 | 267.0028 | -28.2518 |   40 |   31 |  91 |   35 | 0.59 |  1.99 |  9.85 |     0 |     0 |       0 |
| G000.8785-0.1929 | 267.1119 |  -28.285 |   44 |   30 |  32 |   37 | 0.66 |  2.41 | 11.48 |     0 |     0 |       0 |
| G000.8842-0.0361 | 266.9628 | -28.1991 |   33 |   19 |  47 |   25 | 0.57 |  0.97 |  9.05 |     0 |     0 |       0 |
| G000.9029-0.0258 | 266.9638 | -28.1778 |   47 |   24 |  45 |   33 | 0.63 |  1.92 | 10.53 |     0 |     0 |       0 |
| G000.9056+0.1140 | 266.8297 | -28.1032 |   60 |   38 |  78 |   48 | 0.58 |  3.59 | 10.35 |     0 |     0 |       0 |
| G000.9295+0.0041 | 266.9504 | -28.1396 |   64 |   29 |  -3 |   43 | 0.63 |  3.14 | 11.04 |     0 |     0 |       0 |
