  Name                  nYSOs
  G326.5278-0.0177      1 
  G326.5444+0.1691      0 
  G326.5654+0.1249      0 
  G326.5676+0.1976      0 
  G326.6041+0.6197      1 
  G326.6081+0.7994      3 
  G326.6123+0.8109      0 
  G326.6155+0.7937      2 
  G326.6252+0.8332      2 
  G326.6276+0.6102      0 
  G326.6334+0.6004      2 
  G326.6356+0.5906      0 
  G326.6394+0.6273      1 
  G326.6411+0.6127      1 
  G326.6441+0.4125      0 
  G326.6473+0.7485      0 
  G326.6490+0.6054      0 
  G326.6533+0.7392      2 
  G326.6536+0.6196      0 
  G326.6537+0.4797      2 
  G326.6538+0.5229      0 
  G326.6574+0.5100      0 
  G326.6577+0.5941      0 
  G326.6607+0.5190      0 
  G326.6706+0.5539      0 
  G326.6821+0.5648      3 
  G326.6932+0.5414      0 
  G326.6950+0.5691      0 
  G326.7235+0.3544      1 
  G326.7236+0.6148      0 
  G326.7299+0.6203      0 
  G326.7378+0.6224      0 
  G326.7381+0.5941      0 
  G326.7406+0.5276      0 
  G326.7418+0.6079      0 
  G326.7479+0.5888      0 
  G326.7509+0.5358      0 
  G326.7533+0.6028      0 
  G326.7740-0.1265      3 
  G326.7804-0.2419      0 
  G326.7952+0.3825      6 
  G326.7976+0.5127      2 
  G326.8051-0.1112      0 
  G326.8069+0.3837      2 
  G326.8594-0.6774      3 
  G326.8693+0.0720      0 
  G326.8759-0.2786      0 
  G326.8773-0.5156      0 
  G326.8815-0.1071      1 
  G326.8835-0.2695      0 
  G326.9194-0.3052      6 
  G326.9216-0.5132      1 
  G326.9271+0.7869      1 
  G326.9313-0.3125      1 
  G326.9425-0.1679      0 
  G326.9543-0.0124      1 
  G326.9649-0.0025      1 
  G326.9734-0.0326      1 
  G326.9770-0.0855      0 
  G326.9871-0.0317      2 
  G326.9980-0.0159      0 
  G326.9994-0.0583      0 
  G327.0260-0.4232      1 
  G327.0505+0.0319      0 
  G327.0678-0.2901      0 
  G327.1093+0.5383      0 
  G327.1177-0.2953      0 
  G327.1197+0.5099      0 
  G327.1280-0.2697      2 
  G327.1288-0.3327      1 
  G327.1543-0.2574      1 
  G327.1646-0.2506      2 
  G327.1663-0.3558      6 
  G327.2062-0.2128      0 
  G327.2260-0.5152      1 
  G327.2309-0.5041      0 
  G327.2370-0.5178      1 
  G327.2442-0.2319      2 
  G327.2492+0.5214      2 
  G327.2585-0.6051      0 
  G327.2639-0.5767      1 
  G327.2657-0.5410      1 
  G327.2710-0.5738      0 
  G327.2921-0.5792      1 
  G327.2927-0.1955      0 
  G327.2970-0.5440      0 
  G327.3005-0.5509      0 
  G327.3039-0.5775      2 
  G327.3059-0.5257      0 
  G327.3062-0.5422      0 
  G327.3087-0.5596      0 
  G327.3104-0.5503      0 
  G327.3119-0.5727      0 
  G327.3569-0.0995      0 
  G327.3928+0.1984      1 
  G327.3947+0.4460      0 
  G327.4024+0.4436      0 
  G327.4102+0.4502      0 
  G327.4153+0.0043      0 
  G327.4755-0.0853      1 
  G327.5669-0.8522      0 
  G327.5701-0.8580      0 
